date_key,year,quarter,month,month_name,day_of_month,day_of_week,day_name,week_of_year,is_weekend
2015-12-12,2015,4,12,December,12,5,Saturday,50,True
2015-12-13,2015,4,12,December,13,6,Sunday,50,True
2015-12-14,2015,4,12,December,14,0,Monday,51,False
2015-12-15,2015,4,12,December,15,1,Tuesday,51,False
2015-12-16,2015,4,12,December,16,2,Wednesday,51,False
2015-12-17,2015,4,12,December,17,3,Thursday,51,False
2015-12-18,2015,4,12,December,18,4,Friday,51,False
2015-12-19,2015,4,12,December,19,5,Saturday,51,True
2015-12-20,2015,4,12,December,20,6,Sunday,51,True
2015-12-21,2015,4,12,December,21,0,Monday,52,False
2015-12-22,2015,4,12,December,22,1,Tuesday,52,False
2015-12-23,2015,4,12,December,23,2,Wednesday,52,False
2015-12-24,2015,4,12,December,24,3,Thursday,52,False
2015-12-25,2015,4,12,December,25,4,Friday,52,False
2015-12-26,2015,4,12,December,26,5,Saturday,52,True
2015-12-27,2015,4,12,December,27,6,Sunday,52,True
2015-12-28,2015,4,12,December,28,0,Monday,53,False
2015-12-29,2015,4,12,December,29,1,Tuesday,53,False
2015-12-30,2015,4,12,December,30,2,Wednesday,53,False
2015-12-31,2015,4,12,December,31,3,Thursday,53,False
2016-01-01,2016,1,1,January,1,4,Friday,53,False
2016-01-02,2016,1,1,January,2,5,Saturday,53,True
2016-01-03,2016,1,1,January,3,6,Sunday,53,True
2016-01-04,2016,1,1,January,4,0,Monday,1,False
2016-01-05,2016,1,1,January,5,1,Tuesday,1,False
2016-01-06,2016,1,1,January,6,2,Wednesday,1,False
2016-01-07,2016,1,1,January,7,3,Thursday,1,False
2016-01-08,2016,1,1,January,8,4,Friday,1,False
2016-01-09,2016,1,1,January,9,5,Saturday,1,True
2016-01-10,2016,1,1,January,10,6,Sunday,1,True
2016-01-11,2016,1,1,January,11,0,Monday,2,False
2016-01-12,2016,1,1,January,12,1,Tuesday,2,False
2016-01-13,2016,1,1,January,13,2,Wednesday,2,False
2016-01-14,2016,1,1,January,14,3,Thursday,2,False
2016-01-15,2016,1,1,January,15,4,Friday,2,False
2016-01-16,2016,1,1,January,16,5,Saturday,2,True
2016-01-17,2016,1,1,January,17,6,Sunday,2,True
2016-01-18,2016,1,1,January,18,0,Monday,3,False
2016-01-19,2016,1,1,January,19,1,Tuesday,3,False
2016-01-20,2016,1,1,January,20,2,Wednesday,3,False
2016-01-21,2016,1,1,January,21,3,Thursday,3,False
2016-01-22,2016,1,1,January,22,4,Friday,3,False
2016-01-23,2016,1,1,January,23,5,Saturday,3,True
2016-01-24,2016,1,1,January,24,6,Sunday,3,True
2016-01-25,2016,1,1,January,25,0,Monday,4,False
2016-01-26,2016,1,1,January,26,1,Tuesday,4,False
2016-01-27,2016,1,1,January,27,2,Wednesday,4,False
2016-01-28,2016,1,1,January,28,3,Thursday,4,False
2016-01-29,2016,1,1,January,29,4,Friday,4,False
2016-01-30,2016,1,1,January,30,5,Saturday,4,True
2016-01-31,2016,1,1,January,31,6,Sunday,4,True
2016-02-01,2016,1,2,February,1,0,Monday,5,False
2016-02-02,2016,1,2,February,2,1,Tuesday,5,False
2016-02-03,2016,1,2,February,3,2,Wednesday,5,False
2016-02-04,2016,1,2,February,4,3,Thursday,5,False
2016-02-05,2016,1,2,February,5,4,Friday,5,False
2016-02-06,2016,1,2,February,6,5,Saturday,5,True
2016-02-07,2016,1,2,February,7,6,Sunday,5,True
2016-02-08,2016,1,2,February,8,0,Monday,6,False
2016-02-09,2016,1,2,February,9,1,Tuesday,6,False
2016-02-10,2016,1,2,February,10,2,Wednesday,6,False
2016-02-11,2016,1,2,February,11,3,Thursday,6,False
2016-02-12,2016,1,2,February,12,4,Friday,6,False
2016-02-13,2016,1,2,February,13,5,Saturday,6,True
2016-02-14,2016,1,2,February,14,6,Sunday,6,True
2016-02-15,2016,1,2,February,15,0,Monday,7,False
2016-02-16,2016,1,2,February,16,1,Tuesday,7,False
2016-02-17,2016,1,2,February,17,2,Wednesday,7,False
2016-02-18,2016,1,2,February,18,3,Thursday,7,False
2016-02-19,2016,1,2,February,19,4,Friday,7,False
2016-02-20,2016,1,2,February,20,5,Saturday,7,True
2016-02-21,2016,1,2,February,21,6,Sunday,7,True
2016-02-22,2016,1,2,February,22,0,Monday,8,False
2016-02-23,2016,1,2,February,23,1,Tuesday,8,False
2016-02-24,2016,1,2,February,24,2,Wednesday,8,False
2016-02-25,2016,1,2,February,25,3,Thursday,8,False
2016-02-26,2016,1,2,February,26,4,Friday,8,False
2016-02-27,2016,1,2,February,27,5,Saturday,8,True
2016-02-28,2016,1,2,February,28,6,Sunday,8,True
2016-02-29,2016,1,2,February,29,0,Monday,9,False
2016-03-01,2016,1,3,March,1,1,Tuesday,9,False
2016-03-02,2016,1,3,March,2,2,Wednesday,9,False
2016-03-03,2016,1,3,March,3,3,Thursday,9,False
2016-03-04,2016,1,3,March,4,4,Friday,9,False
2016-03-05,2016,1,3,March,5,5,Saturday,9,True
2016-03-06,2016,1,3,March,6,6,Sunday,9,True
2016-03-07,2016,1,3,March,7,0,Monday,10,False
2016-03-08,2016,1,3,March,8,1,Tuesday,10,False
2016-03-09,2016,1,3,March,9,2,Wednesday,10,False
2016-03-10,2016,1,3,March,10,3,Thursday,10,False
2016-03-11,2016,1,3,March,11,4,Friday,10,False
2016-03-12,2016,1,3,March,12,5,Saturday,10,True
2016-03-13,2016,1,3,March,13,6,Sunday,10,True
2016-03-14,2016,1,3,March,14,0,Monday,11,False
2016-03-15,2016,1,3,March,15,1,Tuesday,11,False
2016-03-16,2016,1,3,March,16,2,Wednesday,11,False
2016-03-17,2016,1,3,March,17,3,Thursday,11,False
2016-03-18,2016,1,3,March,18,4,Friday,11,False
2016-03-19,2016,1,3,March,19,5,Saturday,11,True
2016-03-20,2016,1,3,March,20,6,Sunday,11,True
2016-03-21,2016,1,3,March,21,0,Monday,12,False
2016-03-22,2016,1,3,March,22,1,Tuesday,12,False
2016-03-23,2016,1,3,March,23,2,Wednesday,12,False
2016-03-24,2016,1,3,March,24,3,Thursday,12,False
2016-03-25,2016,1,3,March,25,4,Friday,12,False
2016-03-26,2016,1,3,March,26,5,Saturday,12,True
2016-03-27,2016,1,3,March,27,6,Sunday,12,True
2016-03-28,2016,1,3,March,28,0,Monday,13,False
2016-03-29,2016,1,3,March,29,1,Tuesday,13,False
2016-03-30,2016,1,3,March,30,2,Wednesday,13,False
2016-03-31,2016,1,3,March,31,3,Thursday,13,False
2016-04-01,2016,2,4,April,1,4,Friday,13,False
2016-04-02,2016,2,4,April,2,5,Saturday,13,True
2016-04-03,2016,2,4,April,3,6,Sunday,13,True
2016-04-04,2016,2,4,April,4,0,Monday,14,False
2016-04-05,2016,2,4,April,5,1,Tuesday,14,False
2016-04-06,2016,2,4,April,6,2,Wednesday,14,False
2016-04-07,2016,2,4,April,7,3,Thursday,14,False
2016-04-08,2016,2,4,April,8,4,Friday,14,False
2016-04-09,2016,2,4,April,9,5,Saturday,14,True
2016-04-10,2016,2,4,April,10,6,Sunday,14,True
2016-04-11,2016,2,4,April,11,0,Monday,15,False
2016-04-12,2016,2,4,April,12,1,Tuesday,15,False
2016-04-13,2016,2,4,April,13,2,Wednesday,15,False
2016-04-14,2016,2,4,April,14,3,Thursday,15,False
2016-04-15,2016,2,4,April,15,4,Friday,15,False
2016-04-16,2016,2,4,April,16,5,Saturday,15,True
2016-04-17,2016,2,4,April,17,6,Sunday,15,True
2016-04-18,2016,2,4,April,18,0,Monday,16,False
2016-04-19,2016,2,4,April,19,1,Tuesday,16,False
